"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2275","User should be able to sort products from A to Z","chromium","2026-09-19","passed","2026-09-19","","home.spec.js","",""
"","3279","User should be able to navigate to page 2","firefox","2026-09-19","passed","2026-09-19","","home.spec.js","",""
"","2486","Registration form should accept valid user details","chromium","2026-09-19","passed","2026-09-19","","register.spec.js","",""
"","6647","Logged-in user should be able to add a product to the cart","firefox","2026-09-19","passed","2026-09-19","","loggedInProduct.spec.js","",""
"","5635","User should be able to open cart after adding a product","chromium","2026-09-19","passed","2026-09-19","","cart.spec.js","",""
"","2876","User should see no results for an invalid product search","chromium","2026-09-19","passed","2026-09-19","","home.spec.js","",""
"","7367","Guest user should be able to proceed to checkout login","firefox","2026-09-19","passed","2026-09-19","","checkout.spec.js","",""
"","3402","User should be able to sort products from A to Z","webkit","2026-09-19","passed","2026-09-19","","home.spec.js","",""
"","3286","User should be able to login successfully","chromium","2026-09-19","passed","2026-09-19","","login.spec.js","",""
"","6380","Guest user should be able to proceed to checkout login","chromium","2026-09-19","passed","2026-09-19","","checkout.spec.js","",""
"","10595","User should be able to open cart after adding a product","webkit","2026-09-19","passed","2026-09-19","","cart.spec.js","",""
"","3524","User should be able to filter products by Hand Tools category","firefox","2026-09-19","passed","2026-09-19","","home.spec.js","",""
"","4800","Registration form should accept valid user details","firefox","2026-09-19","passed","2026-09-19","","register.spec.js","",""
"","4018","User should see an error for invalid login credentials","firefox","2026-09-19","passed","2026-09-19","","login.spec.js","",""
"","5148","Logged-in user should be able to add a product to the cart","chromium","2026-09-19","passed","2026-09-19","","loggedInProduct.spec.js","",""
"","2217","User should be able to search for a product","chromium","2026-09-19","passed","2026-09-19","","home.spec.js","",""
"","8007","Registration form should accept valid user details","webkit","2026-09-19","passed","2026-09-19","","register.spec.js","",""
"","23706","User should be able to complete checkout after login","webkit","2026-09-19","passed","2026-09-19","","checkout.spec.js","",""
"","3578","User should be able to search for a product","firefox","2026-09-19","passed","2026-09-19","","home.spec.js","",""
"","9006","User should be able to add a product to the cart","webkit","2026-09-19","passed","2026-09-19","","product.spec.js","",""
"","13545","User should be able to open cart after adding a product","firefox","2026-09-19","passed","2026-09-19","","cart.spec.js","",""
"","8798","User should be able to complete checkout after login","chromium","2026-09-19","passed","2026-09-19","","checkout.spec.js","",""
"","11535","Logged-in user should be able to add a product to the cart","webkit","2026-09-19","passed","2026-09-19","","loggedInProduct.spec.js","",""
"","2652","User should be able to navigate to page 2","chromium","2026-09-19","passed","2026-09-19","","home.spec.js","",""
"","2466","User should be able to filter products by Hand Tools category","chromium","2026-09-19","passed","2026-09-19","","home.spec.js","",""
"","3260","User should be able to sort products from A to Z","firefox","2026-09-19","passed","2026-09-19","","home.spec.js","",""
"","4304","User should be able to add a product to the cart","chromium","2026-09-19","passed","2026-09-19","","product.spec.js","",""
"","3018","User should see an error for invalid login credentials","chromium","2026-09-19","passed","2026-09-19","","login.spec.js","",""
"","6496","User should be able to search for a product","webkit","2026-09-19","passed","2026-09-19","","home.spec.js","",""
"","4034","User should see an error for invalid login credentials","webkit","2026-09-19","passed","2026-09-19","","login.spec.js","",""
"","5123","User should be able to login successfully","webkit","2026-09-19","passed","2026-09-19","","login.spec.js","",""
"","7107","User should be able to login successfully","firefox","2026-09-19","passed","2026-09-19","","login.spec.js","",""
"","5684","User should be able to filter products by Hand Tools category","webkit","2026-09-19","passed","2026-09-19","","home.spec.js","",""
"","5480","User should be able to add a product to the cart","firefox","2026-09-19","passed","2026-09-19","","product.spec.js","",""
"","3759","User should be able to navigate to page 2","webkit","2026-09-19","passed","2026-09-19","","home.spec.js","",""
"","5272","User should see no results for an invalid product search","webkit","2026-09-19","passed","2026-09-19","","home.spec.js","",""
"","11550","Guest user should be able to proceed to checkout login","webkit","2026-09-19","passed","2026-09-19","","checkout.spec.js","",""
"","3792","User should see no results for an invalid product search","firefox","2026-09-19","passed","2026-09-19","","home.spec.js","",""
"","10699","User should be able to complete checkout after login","firefox","2026-09-19","passed","2026-09-19","","checkout.spec.js","",""
